ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,ChannelType,SiteNumber,tbl_ShinerSubstrate_Season,Muck,Detritus,Silt,Sand,Pea_gravel,Coarse_gravel,Cobble,Boulder,Bedrock,Hardpan_shale
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2006Sep18,2006,9/18/2006 0:00:00,9/20/2006 0:00:00,TAPRShiner2006Sep20,2006,9/20/2006 0:00:00,9/20/2006 0:00:00,,main,1,2006,6,2,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2006Sep18,2006,9/18/2006 0:00:00,9/20/2006 0:00:00,TAPRShiner2006Sep20,2006,9/20/2006 0:00:00,9/20/2006 0:00:00,,main,2,2006,6,2,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2006Sep18,2006,9/18/2006 0:00:00,9/20/2006 0:00:00,TAPRShiner2006Sep20,2006,9/20/2006 0:00:00,9/20/2006 0:00:00,,main,3,2006,6,2,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2006Sep18,2006,9/18/2006 0:00:00,9/20/2006 0:00:00,TAPRShiner2006Sep20,2006,9/20/2006 0:00:00,9/20/2006 0:00:00,,main,4,2006,6,2,3,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2008Sep07,2008,9/7/2008 0:00:00,9/10/2008 0:00:00,TAPRShiner2008Sep10,2008,9/10/2008 0:00:00,9/10/2008 0:00:00,,main,1,2008,7,0,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2008Sep07,2008,9/7/2008 0:00:00,9/10/2008 0:00:00,TAPRShiner2008Sep10,2008,9/10/2008 0:00:00,9/10/2008 0:00:00,,main,2,2008,7,0,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2008Sep07,2008,9/7/2008 0:00:00,9/10/2008 0:00:00,TAPRShiner2008Sep10,2008,9/10/2008 0:00:00,9/10/2008 0:00:00,,main,3,2008,7,0,0,0,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2009Sep08,2009,9/8/2009 0:00:00,9/11/2009 0:00:00,TAPRShiner2009Sep09,2009,9/9/2009 0:00:00,9/9/2009 0:00:00,,main,1,2009,7,0,0,2,0,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2009Sep08,2009,9/8/2009 0:00:00,9/11/2009 0:00:00,TAPRShiner2009Sep09,2009,9/9/2009 0:00:00,9/9/2009 0:00:00,,main,2,2009,6,0,0,0,3,0,0,0,0,0
Tallgrass Prairie National Preserve,TAPR,TAPRShiner12middl,12,mainstem,Pasture Name: Two Sections,Creek 12 - Middle,,Chase,,TAPRMID12,,,TAPRShiner2009Sep08,2009,9/8/2009 0:00:00,9/11/2009 0:00:00,TAPRShiner2009Sep09,2009,9/9/2009 0:00:00,9/9/2009 0:00:00,,main,3,2009,7,0,0,0,0,0,0,0,0,0
