Plot,EventDate,SubPlot
AGFO22,Jun  5 2003,2
AGFO22,Jun  7 2006,2
AGFO22,Jun  8 2005,2
AGFO22,Jun  9 2004,2
AGFO22,May 10 2001,2
AGFO22,Jun  5 2003,3
AGFO22,Jun  7 2006,3
AGFO22,Jun  8 2005,3
AGFO22,Jun  9 2004,3
AGFO22,May 10 2001,3
AGFO22,Jun  5 2003,4
AGFO22,Jun  7 2006,4
AGFO22,Jun  8 2005,4
AGFO22,Jun  9 2004,4
AGFO22,May 10 2001,4
AGFO23,Jun  5 2003,1
AGFO23,Jun  7 2006,1
AGFO23,Jun  8 2005,1
AGFO23,Jun  9 2004,1
AGFO23,May  9 2001,1
AGFO23,Jun  5 2003,2
AGFO23,Jun  7 2006,2
AGFO23,Jun  8 2005,2
AGFO23,Jun  9 2004,2
AGFO23,May  9 2001,2
AGFO23,Jun  5 2003,3
AGFO23,Jun  7 2006,3
AGFO23,Jun  8 2005,3
AGFO23,Jun  9 2004,3
AGFO23,May  9 2001,3
AGFO23,Jun  5 2003,4
AGFO23,Jun  7 2006,4
AGFO23,Jun  8 2005,4
AGFO23,Jun  9 2004,4
AGFO23,May  9 2001,4
AGFO24,Jun  5 2003,1
AGFO24,Jun  8 2005,1
AGFO24,Jun  8 2006,1
AGFO24,Jun  9 2004,1
AGFO24,May  9 2001,1
AGFO24,Jun  5 2003,2
AGFO24,Jun  8 2005,2
AGFO24,Jun  8 2006,2
AGFO24,Jun  9 2004,2
AGFO24,May  9 2001,2
AGFO24,Jun  5 2003,3
AGFO24,Jun  8 2005,3
AGFO24,Jun  8 2006,3
AGFO24,Jun  9 2004,3
AGFO24,May  9 2001,3
AGFO24,Jun  5 2003,4
AGFO24,Jun  8 2005,4
AGFO24,Jun  8 2006,4
AGFO24,Jun  9 2004,4
AGFO24,May  9 2001,4
AGFO25,Jun  5 2003,1
AGFO25,Jun  8 2005,1
AGFO25,Jun  8 2006,1
AGFO25,Jun  9 2004,1
AGFO25,May  9 2001,1
AGFO25,Jun  5 2003,2
AGFO25,Jun  8 2005,2
AGFO25,Jun  8 2006,2
AGFO25,Jun  9 2004,2
AGFO25,May  9 2001,2
AGFO25,Jun  5 2003,3
AGFO25,Jun  8 2005,3
AGFO25,Jun  8 2006,3
AGFO25,Jun  9 2004,3
AGFO25,May  9 2001,3
AGFO25,Jun  5 2003,4
AGFO25,Jun  8 2005,4
AGFO25,Jun  8 2006,4
AGFO25,Jun  9 2004,4
AGFO25,May  9 2001,4
AGFO26,Jun  5 2003,1
AGFO26,Jun  8 2005,1
AGFO26,Jun  8 2006,1
AGFO26,Jun  9 2004,1
AGFO26,May  7 2001,1
AGFO26,Jun  5 2003,2
AGFO26,Jun  8 2005,2
AGFO26,Jun  8 2006,2
AGFO26,Jun  9 2004,2
AGFO26,May  7 2001,2
AGFO26,Jun  5 2003,3
AGFO26,Jun  8 2005,3
AGFO26,Jun  8 2006,3
AGFO26,Jun  9 2004,3
AGFO26,May  7 2001,3
AGFO26,Jun  5 2003,4
AGFO26,Jun  8 2005,4
AGFO26,Jun  8 2006,4
AGFO26,Jun  9 2004,4
AGFO26,May  7 2001,4
AGFO27,Jun  5 2003,1
AGFO27,Jun  8 2005,1
AGFO27,Jun  8 2006,1
AGFO27,Jun  9 2004,1
AGFO27,May  9 2001,1
AGFO27,Jun  5 2003,2
AGFO27,Jun  8 2005,2
AGFO27,Jun  8 2006,2
AGFO27,Jun  9 2004,2
AGFO27,May  9 2001,2
AGFO27,Jun  5 2003,3
AGFO27,Jun  8 2005,3
AGFO27,Jun  8 2006,3
AGFO27,Jun  9 2004,3
AGFO27,May  9 2001,3
AGFO27,Jun  5 2003,4
AGFO27,Jun  8 2005,4
AGFO27,Jun  8 2006,4
AGFO27,Jun  9 2004,4
AGFO27,May  9 2001,4
AGFO28,Jun  5 2003,1
AGFO28,Jun  8 2005,1
AGFO28,Jun  8 2006,1
AGFO28,Jun  9 2004,1
AGFO28,May  9 2001,1
AGFO28,Jun  5 2003,2
AGFO28,Jun  8 2005,2
AGFO28,Jun  8 2006,2
AGFO28,Jun  9 2004,2
AGFO28,May  9 2001,2
AGFO28,Jun  5 2003,3
AGFO28,Jun  8 2005,3
AGFO28,Jun  8 2006,3
AGFO28,Jun  9 2004,3
AGFO28,May  9 2001,3
AGFO28,Jun  5 2003,4
AGFO28,Jun  8 2005,4
AGFO28,Jun  8 2006,4
AGFO28,Jun  9 2004,4
AGFO28,May  9 2001,4
AGFO29,Jun  5 2003,1
AGFO29,Jun  8 2005,1
AGFO29,Jun  8 2006,1
AGFO29,Jun  9 2004,1
AGFO29,May  7 2001,1
AGFO29,Jun  5 2003,2
AGFO29,Jun  8 2005,2
AGFO29,Jun  8 2006,2
AGFO29,Jun  9 2004,2
AGFO29,May  7 2001,2
AGFO29,Jun  5 2003,3
AGFO29,Jun  8 2005,3
AGFO29,Jun  8 2006,3
AGFO29,Jun  9 2004,3
AGFO29,May  7 2001,3
AGFO29,Jun  5 2003,4
AGFO29,Jun  8 2005,4
AGFO29,Jun  8 2006,4
AGFO29,Jun  9 2004,4
AGFO29,May  7 2001,4
AGFO3,Jun  5 2003,1
AGFO3,Jun  7 2004,1
AGFO3,Jun  7 2005,1
AGFO3,Jun  8 2006,1
AGFO3,Jun  5 2003,2
AGFO3,Jun  7 2004,2
AGFO3,Jun  7 2005,2
AGFO3,Jun  8 2006,2
AGFO3,Jun  5 2003,3
AGFO3,Jun  7 2004,3
AGFO3,Jun  7 2005,3
AGFO3,Jun  8 2006,3
AGFO3,Jun  5 2003,4
AGFO3,Jun  7 2004,4
AGFO3,Jun  7 2005,4
AGFO3,Jun  8 2006,4
AGFO30,Jun  5 2003,1
AGFO30,Jun  8 2005,1
AGFO30,Jun  8 2006,1
AGFO30,Jun  9 2004,1
AGFO30,May  9 2001,1
AGFO30,Jun  5 2003,2
AGFO30,Jun  8 2005,2
AGFO30,Jun  8 2006,2
AGFO30,Jun  9 2004,2
AGFO30,May  9 2001,2
AGFO30,Jun  5 2003,3
AGFO30,Jun  8 2005,3
AGFO30,Jun  8 2006,3
AGFO30,Jun  9 2004,3
AGFO30,May  9 2001,3
AGFO30,Jun  5 2003,4
AGFO30,Jun  8 2005,4
AGFO30,Jun  8 2006,4
AGFO30,Jun  9 2004,4
AGFO30,May  9 2001,4
AGFO31,Jun  6 2003,1
AGFO31,Jun  6 2005,1
AGFO31,Jun  6 2006,1
AGFO31,Jun  8 2004,1
AGFO31,Jun  6 2003,2
AGFO31,Jun  6 2005,2
AGFO31,Jun  6 2006,2
AGFO31,Jun  8 2004,2
AGFO31,Jun  6 2003,3
AGFO31,Jun  6 2005,3
AGFO31,Jun  6 2006,3
AGFO31,Jun  8 2004,3
AGFO31,Jun  6 2003,4
AGFO31,Jun  6 2005,4
AGFO31,Jun  6 2006,4
AGFO31,Jun  8 2004,4
AGFO32,Jun  4 2003,1
AGFO32,Jun  6 2005,1
AGFO32,Jun  6 2006,1
AGFO32,Jun  8 2004,1
AGFO32,Jun  4 2003,2
AGFO32,Jun  6 2005,2
AGFO32,Jun  6 2006,2
AGFO32,Jun  8 2004,2
AGFO32,Jun  4 2003,3
AGFO32,Jun  6 2005,3
AGFO32,Jun  6 2006,3
AGFO32,Jun  8 2004,3
AGFO32,Jun  4 2003,4
AGFO32,Jun  6 2005,4
AGFO32,Jun  6 2006,4
AGFO32,Jun  8 2004,4
AGFO33,Jun  4 2003,1
AGFO33,Jun  6 2005,1
AGFO33,Jun  6 2006,1
AGFO33,Jun  8 2004,1
AGFO33,Jun  4 2003,2
AGFO33,Jun  6 2005,2
AGFO33,Jun  6 2006,2
AGFO33,Jun  8 2004,2
AGFO33,Jun  4 2003,3
AGFO33,Jun  6 2005,3
AGFO33,Jun  6 2006,3
AGFO33,Jun  8 2004,3
AGFO33,Jun  4 2003,4
AGFO33,Jun  6 2005,4
AGFO33,Jun  6 2006,4
AGFO33,Jun  8 2004,4
AGFO34,Jun  6 2003,1
AGFO34,Jun  6 2005,1
AGFO34,Jun  6 2006,1
AGFO34,Jun  8 2004,1
AGFO34,Jun  6 2003,2
AGFO34,Jun  6 2005,2
AGFO34,Jun  6 2006,2
AGFO34,Jun  8 2004,2
AGFO34,Jun  6 2003,3
AGFO34,Jun  6 2005,3
AGFO34,Jun  6 2006,3
AGFO34,Jun  8 2004,3
AGFO34,Jun  6 2003,4
AGFO34,Jun  6 2005,4
AGFO34,Jun  6 2006,4
AGFO34,Jun  8 2004,4
AGFO35,Jun  4 2003,1
AGFO35,Jun  6 2005,1
AGFO35,Jun  6 2006,1
AGFO35,Jun  8 2004,1
AGFO35,Jun  4 2003,2
AGFO35,Jun  6 2005,2
AGFO35,Jun  6 2006,2
AGFO35,Jun  8 2004,2
AGFO35,Jun  4 2003,3
AGFO35,Jun  6 2005,3
AGFO35,Jun  6 2006,3
AGFO35,Jun  8 2004,3
AGFO35,Jun  4 2003,4
AGFO35,Jun  6 2005,4
AGFO35,Jun  6 2006,4
AGFO35,Jun  8 2004,4
AGFO36,Jun  3 2003,1
AGFO36,Jun  7 2004,1
AGFO36,Jun  7 2005,1
AGFO36,Jun  7 2006,1
AGFO36,Jun  3 2003,2
AGFO36,Jun  7 2004,2
AGFO36,Jun  7 2005,2
AGFO36,Jun  7 2006,2
AGFO36,Jun  3 2003,3
AGFO36,Jun  7 2004,3
AGFO36,Jun  7 2005,3
AGFO36,Jun  7 2006,3
AGFO36,Jun  3 2003,4
AGFO36,Jun  7 2004,4
AGFO36,Jun  7 2005,4
AGFO36,Jun  7 2006,4
AGFO37,Jun  4 2003,1
AGFO37,Jun  6 2005,1
AGFO37,Jun  6 2006,1
AGFO37,Jun  8 2004,1
AGFO37,Jun  4 2003,2
AGFO37,Jun  6 2005,2
AGFO37,Jun  6 2006,2
AGFO37,Jun  8 2004,2
AGFO37,Jun  4 2003,3
AGFO37,Jun  6 2005,3
AGFO37,Jun  6 2006,3
AGFO37,Jun  8 2004,3
AGFO37,Jun  4 2003,4
AGFO37,Jun  6 2005,4
AGFO37,Jun  6 2006,4
AGFO37,Jun  8 2004,4
AGFO38,Jun  4 2003,1
AGFO38,Jun  6 2005,1
AGFO38,Jun  6 2006,1
AGFO38,Jun  8 2004,1
AGFO38,Jun  4 2003,2
AGFO38,Jun  6 2005,2
AGFO38,Jun  6 2006,2
AGFO38,Jun  8 2004,2
AGFO38,Jun  4 2003,3
AGFO38,Jun  6 2005,3
AGFO38,Jun  6 2006,3
AGFO38,Jun  8 2004,3
AGFO38,Jun  4 2003,4
AGFO38,Jun  6 2005,4
AGFO38,Jun  6 2006,4
AGFO38,Jun  8 2004,4
AGFO39,Jun  4 2003,1
AGFO39,Jun  6 2005,1
AGFO39,Jun  6 2006,1
AGFO39,Jun  8 2004,1
AGFO39,Jun  4 2003,2
AGFO39,Jun  6 2005,2
AGFO39,Jun  6 2006,2
AGFO39,Jun  8 2004,2
AGFO39,Jun  4 2003,3
AGFO39,Jun  6 2005,3
AGFO39,Jun  6 2006,3
AGFO39,Jun  8 2004,3
AGFO39,Jun  4 2003,4
AGFO39,Jun  6 2005,4
AGFO39,Jun  6 2006,4
AGFO39,Jun  8 2004,4
AGFO4,Jun  5 2003,1
AGFO4,Jun  8 2005,1
AGFO4,Jun  8 2006,1
AGFO4,Jun  9 2004,1
AGFO4,May  7 2001,1
AGFO4,Jun  5 2003,2
AGFO4,Jun  8 2005,2
AGFO4,Jun  8 2006,2
AGFO4,Jun  9 2004,2
AGFO4,May  7 2001,2
AGFO4,Jun  5 2003,3
AGFO4,Jun  8 2005,3
AGFO4,Jun  8 2006,3
AGFO4,Jun  9 2004,3
AGFO4,May  7 2001,3
AGFO4,Jun  5 2003,4
AGFO4,Jun  8 2005,4
AGFO4,Jun  8 2006,4
AGFO4,Jun  9 2004,4
AGFO4,May  7 2001,4
AGFO40,Jun  4 2003,1
AGFO40,Jun  6 2005,1
AGFO40,Jun  6 2006,1
AGFO40,Jun  8 2004,1
AGFO40,Jun  4 2003,2
AGFO40,Jun  6 2005,2
AGFO40,Jun  6 2006,2
AGFO40,Jun  8 2004,2
AGFO40,Jun  4 2003,3
AGFO40,Jun  6 2005,3
AGFO40,Jun  6 2006,3
AGFO40,Jun  8 2004,3
AGFO40,Jun  4 2003,4
AGFO40,Jun  6 2005,4
AGFO40,Jun  6 2006,4
AGFO40,Jun  8 2004,4
AGFO41,Jun  3 2003,1
AGFO41,Jun  7 2004,1
AGFO41,Jun  7 2005,1
AGFO41,Jun  7 2006,1
AGFO41,Jun  3 2003,2
AGFO41,Jun  7 2004,2
AGFO41,Jun  7 2005,2
AGFO41,Jun  7 2006,2
AGFO41,Jun  3 2003,3
AGFO41,Jun  7 2004,3
AGFO41,Jun  7 2005,3
AGFO41,Jun  7 2006,3
AGFO41,Jun  3 2003,4
AGFO41,Jun  7 2004,4
AGFO41,Jun  7 2005,4
AGFO41,Jun  7 2006,4
AGFO42,Jun  4 2003,1
AGFO42,Jun  6 2005,1
AGFO42,Jun  6 2006,1
AGFO42,Jun  8 2004,1
AGFO42,Jun  4 2003,2
AGFO42,Jun  6 2005,2
AGFO42,Jun  6 2006,2
AGFO42,Jun  8 2004,2
AGFO42,Jun  4 2003,3
AGFO42,Jun  6 2005,3
AGFO42,Jun  6 2006,3
AGFO42,Jun  8 2004,3
AGFO42,Jun  4 2003,4
AGFO42,Jun  6 2005,4
AGFO42,Jun  6 2006,4
AGFO42,Jun  8 2004,4
AGFO43,Jun  4 2003,1
AGFO43,Jun  6 2005,1
AGFO43,Jun  6 2006,1
AGFO43,Jun  8 2004,1
AGFO43,Jun  4 2003,2
AGFO43,Jun  6 2005,2
AGFO43,Jun  6 2006,2
AGFO43,Jun  8 2004,2
AGFO43,Jun  4 2003,3
AGFO43,Jun  6 2005,3
AGFO43,Jun  6 2006,3
AGFO43,Jun  8 2004,3
AGFO43,Jun  4 2003,4
AGFO43,Jun  6 2005,4
AGFO43,Jun  6 2006,4
AGFO43,Jun  8 2004,4
AGFO44,Jun  4 2003,1
AGFO44,Jun  6 2005,1
AGFO44,Jun  6 2006,1
AGFO44,Jun  8 2004,1
AGFO44,Jun  4 2003,2
AGFO44,Jun  6 2005,2
AGFO44,Jun  6 2006,2
AGFO44,Jun  8 2004,2
AGFO44,Jun  4 2003,3
AGFO44,Jun  6 2005,3
AGFO44,Jun  6 2006,3
AGFO44,Jun  8 2004,3
AGFO44,Jun  4 2003,4
AGFO44,Jun  6 2005,4
AGFO44,Jun  6 2006,4
AGFO44,Jun  8 2004,4
AGFO45,Jun  4 2003,1
AGFO45,Jun  6 2005,1
AGFO45,Jun  6 2006,1
AGFO45,Jun  8 2004,1
AGFO45,Jun  4 2003,2
AGFO45,Jun  6 2005,2
AGFO45,Jun  6 2006,2
AGFO45,Jun  8 2004,2
AGFO45,Jun  4 2003,3
AGFO45,Jun  6 2005,3
AGFO45,Jun  6 2006,3
AGFO45,Jun  8 2004,3
AGFO45,Jun  4 2003,4
AGFO45,Jun  6 2005,4
AGFO45,Jun  6 2006,4
AGFO45,Jun  8 2004,4
AGFO46,Jun  4 2003,1
AGFO46,Jun  6 2005,1
AGFO46,Jun  6 2006,1
AGFO46,Jun  8 2004,1
AGFO46,Jun  4 2003,2
AGFO46,Jun  6 2005,2
AGFO46,Jun  6 2006,2
AGFO46,Jun  8 2004,2
AGFO46,Jun  4 2003,3
AGFO46,Jun  6 2005,3
AGFO46,Jun  6 2006,3
AGFO46,Jun  8 2004,3
AGFO46,Jun  4 2003,4
AGFO46,Jun  6 2005,4
AGFO46,Jun  6 2006,4
AGFO46,Jun  8 2004,4
AGFO47,Jun  3 2003,1
AGFO47,Jun  7 2004,1
AGFO47,Jun  7 2005,1
AGFO47,Jun  7 2006,1
AGFO47,Jun  3 2003,2
AGFO47,Jun  7 2004,2
AGFO47,Jun  7 2005,2
AGFO47,Jun  7 2006,2
AGFO47,Jun  3 2003,3
AGFO47,Jun  7 2004,3
AGFO47,Jun  7 2005,3
AGFO47,Jun  7 2006,3
AGFO47,Jun  3 2003,4
AGFO47,Jun  7 2004,4
AGFO47,Jun  7 2005,4
AGFO47,Jun  7 2006,4
AGFO48,Jun  4 2003,1
AGFO48,Jun  6 2005,1
AGFO48,Jun  6 2006,1
AGFO48,Jun  8 2004,1
AGFO48,Jun  4 2003,2
AGFO48,Jun  6 2005,2
AGFO48,Jun  6 2006,2
AGFO48,Jun  8 2004,2
AGFO48,Jun  4 2003,3
AGFO48,Jun  6 2005,3
AGFO48,Jun  6 2006,3
AGFO48,Jun  8 2004,3
AGFO48,Jun  4 2003,4
AGFO48,Jun  6 2005,4
AGFO48,Jun  6 2006,4
AGFO48,Jun  8 2004,4
AGFO49,Jun  4 2003,1
AGFO49,Jun  6 2005,1
AGFO49,Jun  6 2006,1
AGFO49,Jun  8 2004,1
AGFO49,Jun  4 2003,2
AGFO49,Jun  6 2005,2
AGFO49,Jun  6 2006,2
AGFO49,Jun  8 2004,2
AGFO49,Jun  4 2003,3
AGFO49,Jun  6 2005,3
AGFO49,Jun  6 2006,3
AGFO49,Jun  8 2004,3
AGFO49,Jun  4 2003,4
AGFO49,Jun  6 2005,4
AGFO49,Jun  6 2006,4
AGFO49,Jun  8 2004,4
AGFO5,Jun  5 2003,1
AGFO5,Jun  7 2004,1
AGFO5,Jun  8 2005,1
AGFO5,Jun  8 2006,1
AGFO5,May  9 2001,1
AGFO5,Jun  5 2003,2
AGFO5,Jun  7 2004,2
AGFO5,Jun  8 2005,2
AGFO5,Jun  8 2006,2
AGFO5,May  9 2001,2
AGFO5,Jun  5 2003,3
AGFO5,Jun  7 2004,3
AGFO5,Jun  8 2005,3
AGFO5,Jun  8 2006,3
AGFO5,May  9 2001,3
AGFO5,Jun  5 2003,4
AGFO5,Jun  7 2004,4
AGFO5,Jun  8 2005,4
AGFO5,Jun  8 2006,4
AGFO5,May  9 2001,4
AGFO50,Jun  3 2003,1
AGFO50,Jun  7 2004,1
AGFO50,Jun  7 2005,1
AGFO50,Jun  7 2006,1
AGFO50,Jun  3 2003,2
AGFO50,Jun  7 2004,2
AGFO50,Jun  7 2005,2
AGFO50,Jun  7 2006,2
AGFO50,Jun  3 2003,3
AGFO50,Jun  7 2004,3
AGFO50,Jun  7 2005,3
AGFO50,Jun  7 2006,3
AGFO50,Jun  3 2003,4
AGFO50,Jun  7 2004,4
AGFO50,Jun  7 2005,4
AGFO50,Jun  7 2006,4
AGFO51,Jun  5 2003,1
AGFO51,Jun  8 2005,1
AGFO51,Jun  8 2006,1
AGFO51,Jun  9 2004,1
