geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
TAPR28	38.470536	38.470536	-96.580083	-96.580083
TAPR26	38.471745	38.471745	-96.590215	-96.590215
TAPR27	38.471404	38.471404	-96.573697	-96.573697
TAPR25	38.472609	38.472609	-96.583828	-96.583828
TAPR191	38.472267	38.472267	-96.56731	-96.56731
TAPR24	38.473818	38.473818	-96.59396	-96.59396
TAPR190	38.473477	38.473477	-96.577442	-96.577442
TAPR188	38.474687	38.474687	-96.587573	-96.587573
TAPR189	38.474345	38.474345	-96.571055	-96.571055
TAPR187	38.475555	38.475555	-96.581187	-96.581187
TAPR186	38.476764	38.476764	-96.591319	-96.591319
TAPR23	38.476423	38.476423	-96.5748	-96.5748
TAPR22	38.477633	38.477633	-96.584932	-96.584932
TAPR185	38.477291	38.477291	-96.568413	-96.568413
TAPR20	38.478841	38.478841	-96.595065	-96.595065
TAPR21	38.478501	38.478501	-96.578545	-96.578545
TAPR18	38.47971	38.47971	-96.588678	-96.588678
TAPR19	38.479369	38.479369	-96.572158	-96.572158
TAPR17	38.480574	38.480574	-96.582291	-96.582291
TAPR15	38.481783	38.481783	-96.592423	-96.592423
TAPR16	38.481442	38.481442	-96.575903	-96.575903
TAPR13	38.482652	38.482652	-96.586036	-96.586036
TAPR14	38.48231	38.48231	-96.569516	-96.569516
TAPR184	38.48386	38.48386	-96.59617	-96.59617
TAPR12	38.48352	38.48352	-96.579649	-96.579649
TAPR10	38.484729	38.484729	-96.589782	-96.589782
TAPR11	38.484388	38.484388	-96.573261	-96.573261
TAPR9	38.485598	38.485598	-96.583394	-96.583394
TAPR7	38.486807	38.486807	-96.593528	-96.593528
TAPR8	38.486466	38.486466	-96.577007	-96.577007
TAPR5	38.487675	38.487675	-96.58714	-96.58714
TAPR6	38.487333	38.487333	-96.570619	-96.570619
TAPR4	38.488544	38.488544	-96.580752	-96.580752
TAPR2	38.489748	38.489748	-96.590886	-96.590886
TAPR3	38.489407	38.489407	-96.574364	-96.574364
TAPR183	38.490617	38.490617	-96.584498	-96.584498
TAPR162	38.491152	38.491152	-96.57511	-96.57511
TAPR163	38.491121	38.491121	-96.569925	-96.569925
TAPR160	38.491881	38.491881	-96.585287	-96.585287
TAPR159	38.49237	38.49237	-96.590672	-96.590672
TAPR161	38.492454	38.492454	-96.580093	-96.580093
TAPR182	38.492353	38.492353	-96.571722	-96.571722
TAPR181	38.493563	38.493563	-96.581856	-96.581856
TAPR176	38.494302	38.494302	-96.594147	-96.594147
TAPR180	38.494772	38.494772	-96.591991	-96.591991
TAPR1	38.494431	38.494431	-96.575468	-96.575468
TAPR178	38.49564	38.49564	-96.585603	-96.585603
TAPR179	38.495298	38.495298	-96.569079	-96.569079
TAPR177	38.496508	38.496508	-96.579214	-96.579214
WICR36	37.084112	37.084112	-93.413558	-93.413558
WICR34	37.086672	37.086672	-93.41039	-93.41039
WICR31	37.089211	37.089211	-93.413586	-93.413586
WICR37	37.084155	37.084155	-93.400829	-93.400829
WICR35	37.086694	37.086694	-93.404025	-93.404025
WICR32	37.089233	37.089233	-93.407221	-93.407221
WICR30	37.091771	37.091771	-93.410417	-93.410417
WICR27	37.09431	37.09431	-93.413614	-93.413614
WICR33	37.089255	37.089255	-93.400856	-93.400856
WICR28	37.094332	37.094332	-93.407248	-93.407248
WICR25	37.096871	37.096871	-93.410445	-93.410445
WICR22	37.099409	37.099409	-93.413642	-93.413642
WICR29	37.094354	37.094354	-93.400883	-93.400883
WICR26	37.096892	37.096892	-93.404079	-93.404079
